ID,Longitude,Latitude,Height,Comment,Max_PDOP,Max_HDOP,Corr_Type,Rcvr_Type,GPS_Date,GPS_Time,Update_Sta,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,GPS_Week,GPS_Second,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Point_ID
96,-74.111854915,22.736666168,-34.25184,b1117 gcp b,1.5,0.8,Real-time Code,ProXRT,6/11/2019,01:00:55pm,New,Point_ge,june 11 2019.ssf,97,97,Generic,2057,234071.000,-34.25184,0.03098,0.03311,0.009036,96
97,-74.154223393,22.741555626,-33.93728,b1118 gcp c sample,2.6,1.4,Real-time Code,ProXRT,6/11/2019,03:38:55pm,New,Point_ge,june 11 2019.ssf,894,894,Generic,2057,243551.000,-33.93728,0.30182,0.20916,0.073271,97
98,-74.154223198,22.741555786,-34.08023,b1118 gcp c sample2,2.0,1.1,Real-time Code,ProXRT,6/11/2019,03:53:54pm,New,Point_ge,june 11 2019.ssf,314,314,Generic,2057,244450.000,-34.08023,0.14259,0.10497,0.043860,98
99,-74.154222607,22.741555935,-34.16648,b1118 gcp c sample 3,2.4,1.3,Real-time Code,ProXRT,6/11/2019,03:59:13pm,New,Point_ge,june 11 2019.ssf,192,192,Generic,2057,244769.000,-34.16648,0.12799,0.08793,0.021700,99
100,-74.154280921,22.741508373,-34.35667,b1118 gcp b,2.5,1.3,Real-time Code,ProXRT,6/11/2019,04:03:33pm,New,Point_ge,june 11 2019.ssf,204,204,Generic,2057,245029.000,-34.35667,0.12350,0.08329,0.027957,100
101,-74.154297729,22.741532211,-33.24505,b1118 gcp a,2.6,1.3,Real-time Code,ProXRT,6/11/2019,04:08:09pm,New,Point_ge,june 11 2019.ssf,208,208,Generic,2057,245305.000,-33.24505,0.12283,0.07971,0.024024,101
102,-74.154166454,22.741576371,-33.89253,b1118 gcp d,2.7,1.3,Real-time Code,ProXRT,6/11/2019,04:12:35pm,New,Point_ge,june 11 2019.ssf,227,227,Generic,2057,245571.000,-33.89253,0.13120,0.07946,0.105270,102
103,-74.154139967,22.741613276,-33.97332,b1118 gcp e,3.0,1.3,Real-time Code,ProXRT,6/11/2019,04:17:27pm,New,Point_ge,june 11 2019.ssf,218,218,Generic,2057,245863.000,-33.97332,0.14323,0.07883,0.022148,103
104,-74.340570423,22.804719057,-34.29196,landrail tide guage 3 + 2.40,1.8,0.9,Real-time Code,ProXRT,6/12/2019,10:39:05am,New,Point_ge,june 12 2019.ssf,319,319,Generic,2057,311961.000,-34.29196,0.06668,0.18918,0.041687,104
105,-75.272090185,23.604403623,-31.77864,b1119 gcp a,1.5,0.9,Real-time Code,ProXRT,6/13/2019,12:20:28pm,New,Point_ge,june 13 2019.ssf,501,501,Generic,2057,404444.000,-31.77864,0.08420,0.12471,0.045749,105
106,-75.272031729,23.604268374,-31.11822,b1119 gcp b,1.5,0.9,Real-time Code,ProXRT,6/13/2019,12:31:42pm,New,Point_ge,june 13 2019.ssf,296,296,Generic,2057,405118.000,-31.11822,0.05771,0.07782,0.015157,106
107,-75.272170857,23.604344615,-30.14861,b1119 gcp c,1.5,0.9,Real-time Code,ProXRT,6/13/2019,12:38:03pm,New,Point_ge,june 13 2019.ssf,200,200,Generic,2057,405499.000,-30.14861,0.05157,0.06468,0.010986,107
108,-75.272184529,23.604492410,-30.99697,b1119 gcp d,1.6,0.8,Real-time Code,ProXRT,6/13/2019,12:43:00pm,New,Point_ge,june 13 2019.ssf,347,347,Generic,2057,405796.000,-30.99697,0.04451,0.05354,0.014033,108
109,-75.271986971,23.604452334,-32.51482,b1119 gcp e,1.5,0.8,Real-time Code,ProXRT,6/13/2019,12:51:07pm,New,Point_ge,june 13 2019.ssf,439,439,Generic,2057,406283.000,-32.51482,0.03886,0.04407,0.010585,109
110,-75.272092578,23.604368639,-31.02570,b1119 sample a,1.9,0.8,Real-time Code,ProXRT,6/13/2019,01:00:20pm,New,Point_ge,june 13 2019.ssf,277,277,Generic,2057,406836.000,-31.02570,0.03616,0.03929,0.010291,110
